J. Date,date,week,observer,site,S. time,E. time,duration,S. % sun,E. % sun,S. wind,E. wind,S. temp,E. temp,total,individual,section,gender,behavior,nectar plant,species,,
2021124,5/4/2021,1,KT,B12A,1353,1432,,3,1,2,3,,,,,A-B,,9,,CW,,
2021124,5/4/2021,1,KT,B12A,1353,1432,,3,1,2,3,,,,,,,9,,SULF,,
2021124,5/4/2021,1,KT,B12A,1353,1432,,3,1,2,3,,,,,B-C,,9,,PC,,
2021124,5/4/2021,1,KT,B12A,1353,1432,,3,1,2,3,,,,,C-D,,9,,CW,,
2021124,5/4/2021,1,KT,B12A,1353,1432,,3,1,2,3,,,,,,,9,,CW,,
2021124,5/4/2021,1,KT,B12A,1353,1432,,3,1,2,3,,,,,,,9,,CW,,
2021124,5/4/2021,1,KT,B12A,1353,1432,,3,1,2,3,,,,,,,9,,CW,,
2021124,5/4/2021,1,KT,B12A,1353,1432,,3,1,2,3,,,,,,,2,,SULF,,
2021124,5/4/2021,1,KT,B12A,1353,1432,,3,1,2,3,,,,,,,9,,SULF,,
2021124,5/4/2021,1,KT,B12A,1353,1432,,3,1,2,3,,,,,D-E,,5,,LADY,,
2021124,5/4/2021,1,KT,B12A,1353,1432,,3,1,2,3,,,,,,,9,,CW,,
2021124,5/4/2021,1,KT,B12A,1353,1432,,3,1,2,3,,,,,,,9,,CW,,
2021124,5/4/2021,1,KT,B12A,1353,1432,,3,1,2,3,,,,,,,9,,CW,,
2021124,5/4/2021,1,KT,B12A,1353,1432,,3,1,2,3,,,,,,,9,,BLUE/AZ,,
2021124,5/4/2021,1,KT,B12A,1353,1432,,3,1,2,3,,,,,,,9,,BLUE/AZ,,
2021124,5/4/2021,1,KT,B12A,1353,1432,,3,1,2,3,,,,,,,9,,BLUE/AZ,,
2021124,5/4/2021,1,KT,B12A,1353,1432,,3,1,2,3,,,,,,,9,,PC,,
2021124,5/4/2021,1,KT,B12A,1353,1432,,3,1,2,3,,,,,,,9,,PC,,
