J. Date,Date,Week,Observer,Site,S. Time,E. Time,Duration,S. % Sun,E. % Sun,S. Wind,E. Wind,S. Temp,E. Temp,Total,Individual,Section,Gender,Behavior,Nectar,Species,Comments,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,1,A-B,,9,,SULF,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,2,A-B,,9,,SULF,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,3,A-B,,9,,BLACK,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,4,B-C,,9,,PC,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,5,B-C,,9,,DW,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,6,B-C,,9,,SULF,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,7,C-D,,5,,BLACK,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,8,C-D,,9,,PC,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,9,C-D,,9,,SULF,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,10,C-D,,9,,SULF,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,11,C-D,,9,,DW,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,12,D-E,,5,,SULF,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,13,D-E,,5,,PC,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,14,E-F,,9,,SULF,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,,F-G,,,,NONE,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,15,G-H,,9,,PC,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,16,H-I,,9,,DW,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,,I-J,,,,NONE,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,17,J-K,,9,,CW,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,18,J-K,,1,,PC,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,19,K-L,,9,,PC,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,20,K-L,,5,,VF,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,21,L-M,,9,,SULF,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,22,L-M,,9,,SULF,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,,M-N,,,,NONE,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,23,N-O,,9,,SULF,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,24,O-P,,9,,PC,,,,,,,,,
127,5/7/2025,1,KB,B12A,1352,1424,,4,4,3,4,,,25,25,O-P,,9,,BLUE/AZ,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,,A-B,,,,NONE,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,1,B-C,,9,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,2,B-C,,9,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,3,B-C,,9,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,4,B-C,,9,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,5,B-C,,9,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,6,B-C,,9,,SULF,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,7,B-C,,9,,BLUE/AZ,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,8,C-D,,9,,SULF,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,9,C-D,,2,,SULF,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,10,D-E,,2,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,11,D-E,,9,,LADY,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,12,D-E,,9,,PC,,,,,,,,,
127,5/7/2025,1,EM,C4,1253,1329,,4,4,1,1,,,52,13,D-E,,9,,PC,,,,,,,,,
