"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","TMAX","TMIN","TOBS"
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-01",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-02",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-03",,,"0.75","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-04",,,"0.35","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-05",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-06",,,"0.12","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-07",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-08",,,"0.25","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-09",,,"0.82","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-10",,,"0.35","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-11",,,"0.47","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-12",,,"1.03","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-13",,,"0.08","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-14",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-15",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-16",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-17",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-18",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-19",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-20",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-21",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-22",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-23",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-24",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-25",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-26",,,"0.30","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-27",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-28",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-29",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-30",,,"0.30","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-05-31",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-06-01",,,"0.32","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-06-02",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-06-03",,,"0.10","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-06-04",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-06-05",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-06-06",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-06-07",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-06-08",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-06-09",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-06-10",,,"0.00","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-06-11",,,"0.10","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-06-12",,,"0.90","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-06-13",,,"1.47","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-06-14",,,"0.60","0.0",,,
"USC00366126","MYERSTOWN, PA US","40.3674","-76.3064","146.3","1998-06-15",,,"0.00","0.0",,,
